date,open,high,low,close,volume
2013-05-15,0.99,0.999,0.989,0.997,877116
2013-05-16,0.997,0.999,0.994,0.999,265570
2013-05-17,0.999,1.0,0.996,0.997,36379
2013-05-20,1.002,1.004,0.996,0.997,80490
2013-05-21,0.997,0.998,0.994,0.997,161124
2013-05-22,0.998,1.001,0.998,0.999,46257
2013-05-23,0.996,0.996,0.989,0.991,21817
2013-05-24,0.992,0.995,0.991,0.994,16604
2013-05-27,0.995,0.995,0.991,0.995,6493
2013-05-28,0.996,0.996,0.991,0.992,54125
2013-05-29,0.994,0.997,0.991,0.996,26639
2013-05-30,0.992,0.993,0.991,0.992,6701
2013-05-31,0.992,0.998,0.992,0.998,10308
2013-06-03,0.995,0.995,0.989,0.99,9492
2013-06-04,0.992,0.994,0.991,0.993,27616
2013-06-05,0.993,0.993,0.987,0.989,4503
2013-06-06,0.985,0.985,0.97,0.973,50635
2013-06-07,0.978,0.98,0.971,0.973,26352
2013-06-13,0.962,0.972,0.962,0.966,15230
2013-06-14,0.977,0.979,0.975,0.979,29618
2013-06-17,0.975,0.976,0.973,0.976,3863
2013-06-18,0.981,0.985,0.981,0.984,6569
2013-06-19,0.994,0.999,0.992,0.998,29004
2013-06-20,0.985,0.985,0.93,0.981,33926
2013-06-21,0.95,0.96,0.947,0.96,40061
2013-06-24,0.96,0.96,0.951,0.952,8424
2013-06-25,0.952,0.952,0.942,0.947,11994
2013-06-26,0.95,0.96,0.941,0.946,21788
2013-06-27,0.96,0.96,0.954,0.957,13523
2013-06-28,0.961,0.965,0.961,0.963,17639
2013-07-01,0.963,0.965,0.96,0.965,5941
2013-07-02,0.974,0.974,0.968,0.972,17770
2013-07-03,0.972,0.973,0.97,0.973,9454
2013-07-04,0.973,0.978,0.973,0.978,7937
2013-07-05,0.986,0.989,0.976,0.989,16699
2013-07-08,0.995,1.0,0.987,0.998,32218
2013-07-09,0.997,1.0,0.995,0.996,15498
2013-07-10,1.002,1.009,0.993,0.999,37007
2013-07-11,1.0,1.005,0.998,1.004,34670
2013-07-12,1.011,1.02,1.011,1.019,56645
2013-07-15,1.026,1.028,1.02,1.023,30695
2013-07-16,1.023,1.023,1.018,1.019,17099
2013-07-17,1.016,1.021,1.015,1.019,9661
2013-07-18,1.02,1.022,1.019,1.02,13509
2013-07-19,1.02,1.022,1.018,1.019,19280
