date,open,close,high,low,volume
2018-01-02,4.45,4.55,4.59,4.45,663219.0
2018-01-03,4.54,4.53,4.55,4.51,427467.0
2018-01-04,4.52,4.51,4.52,4.46,412948.0
2018-01-05,4.5,4.57,4.64,4.47,896498.0
2018-01-08,4.56,4.66,4.72,4.54,1043006.0
2018-01-09,4.66,4.63,4.69,4.6,415452.0
2018-01-10,4.64,4.62,4.66,4.57,383301.0
2018-01-11,4.61,4.58,4.61,4.54,352732.0
2018-01-12,4.57,4.55,4.6,4.55,269220.0
2018-01-15,4.55,4.49,4.57,4.47,481723.0
2018-01-16,4.51,4.58,4.58,4.48,506533.0
2018-01-17,4.58,4.56,4.59,4.49,564422.0
2018-01-18,4.55,4.61,4.61,4.52,433836.0
2018-01-19,4.67,4.61,4.7,4.61,708817.0
2018-01-22,4.61,4.66,4.66,4.55,553113.0
2018-01-23,4.65,4.65,4.68,4.61,508148.0
2018-01-24,4.65,4.63,4.67,4.59,452136.0
2018-01-25,4.62,4.67,4.71,4.6,780557.0
2018-01-26,4.65,4.63,4.68,4.62,494831.0
2018-01-29,4.63,4.55,4.67,4.53,592245.0
2018-01-30,4.51,4.5,4.55,4.48,388855.0
2018-01-31,4.5,4.49,4.52,4.47,345407.0
2018-02-01,4.49,4.35,4.5,4.32,663756.0
2018-02-02,4.35,4.37,4.39,4.26,390344.0
2018-02-05,4.31,4.41,4.42,4.3,317487.0
2018-02-06,4.35,4.27,4.4,4.27,477450.0
2018-02-07,4.32,4.29,4.38,4.2,411596.0
2018-02-08,4.27,4.33,4.35,4.25,357823.0
2018-02-09,4.24,4.15,4.27,4.1,554807.0
2018-02-12,4.17,4.21,4.22,4.16,217888.0
2018-02-13,4.24,4.24,4.28,4.22,197164.0
2018-02-14,4.23,4.24,4.25,4.21,165958.0
2018-02-22,4.26,4.28,4.3,4.26,249280.0
2018-02-23,4.28,4.28,4.3,4.26,152463.0
2018-02-26,4.29,4.33,4.36,4.29,308989.0
2018-02-27,4.33,4.29,4.34,4.28,227826.0
2018-02-28,4.28,4.28,4.29,4.23,180663.0
2018-03-01,4.25,4.28,4.29,4.24,240587.0
2018-03-02,4.26,4.25,4.28,4.25,183374.0
2018-03-05,4.25,4.26,4.27,4.24,141456.0
2018-03-06,4.26,4.31,4.32,4.25,299394.0
2018-03-07,4.3,4.31,4.36,4.29,298512.0
2018-03-08,4.3,4.32,4.33,4.29,176708.0
2018-03-09,4.33,4.33,4.33,4.3,212735.0
2018-03-12,4.34,4.35,4.35,4.32,262385.0
2018-03-13,4.35,4.31,4.36,4.3,221499.0
2018-03-14,4.31,4.29,4.31,4.28,152996.0
2018-03-15,4.28,4.27,4.3,4.25,163347.0
2018-03-16,4.27,4.27,4.29,4.26,133700.0
2018-03-19,4.27,4.26,4.28,4.25,106393.0
2018-03-20,4.25,4.25,4.26,4.22,157341.0
2018-03-21,4.25,4.25,4.28,4.24,151901.0
2018-03-22,4.24,4.23,4.26,4.22,160957.0
2018-03-23,4.15,4.22,4.22,4.03,682775.0
2018-03-26,4.14,4.18,4.19,4.1,214420.0
