date,open,high,low,close,volume
2018-01-02,5.37,5.4,5.33,5.38,176649
2018-01-03,5.35,5.42,5.35,5.37,244062
2018-01-04,5.36,5.37,5.32,5.33,205106
2018-01-05,5.33,5.38,5.32,5.35,225223
2018-01-08,5.35,5.45,5.31,5.4,352238
2018-01-09,5.39,5.44,5.35,5.36,205026
2018-01-10,5.36,5.39,5.31,5.33,183576
2018-01-11,5.33,5.34,5.31,5.33,139232
2018-01-12,5.34,5.37,5.32,5.33,133567
2018-01-15,5.33,5.33,5.25,5.26,239519
2018-01-16,5.27,5.32,5.25,5.32,172762
2018-01-17,5.32,5.57,5.32,5.47,842122
2018-01-18,5.48,5.54,5.43,5.47,375986
2018-01-19,5.46,5.67,5.46,5.59,826496
2018-01-22,5.56,5.64,5.52,5.59,494232
2018-01-23,5.56,5.64,5.54,5.57,423876
2018-01-24,5.57,5.7,5.53,5.7,902795
2018-01-25,5.64,5.66,5.55,5.56,628087
2018-01-26,5.53,5.63,5.53,5.6,410852
2018-01-29,5.58,5.68,5.56,5.6,484108
2018-01-30,5.59,5.6,5.46,5.48,523013
2018-01-31,5.47,5.47,5.31,5.35,457816
2018-02-01,5.37,5.39,5.26,5.32,482420
2018-02-02,5.3,5.38,5.25,5.37,301493
2018-02-05,5.31,5.43,5.28,5.37,298442
2018-02-06,5.31,5.38,5.28,5.33,587234
2018-02-07,5.36,5.39,5.17,5.21,470107
2018-02-08,5.21,5.25,5.18,5.23,229853
2018-02-09,5.15,5.16,4.84,5.01,529858
2018-02-12,5.01,5.04,4.95,4.97,218325
2018-02-13,4.99,5.03,4.96,4.96,194576
2018-02-14,4.95,4.98,4.94,4.98,121432
2018-02-22,5.01,5.04,4.97,4.99,277388
2018-02-23,4.99,5.03,4.98,5.0,150518
2018-02-26,5.01,5.09,4.99,5.08,278317
2018-02-27,5.07,5.07,5.02,5.04,233011
2018-02-28,5.02,5.07,4.96,5.02,227190
2018-03-01,5.0,5.03,4.97,5.03,164480
2018-03-02,5.0,5.02,4.98,4.99,147678
2018-03-05,4.98,5.01,4.98,5.0,137010
2018-03-06,5.0,5.06,4.99,5.06,265073
2018-03-07,5.05,5.07,4.99,5.0,215382
2018-03-08,4.99,5.04,4.99,5.03,155275
2018-03-09,5.03,5.09,5.02,5.07,233861
2018-03-12,5.1,5.14,5.06,5.09,339793
2018-03-13,5.08,5.08,5.04,5.04,208468
2018-03-14,5.04,5.06,5.01,5.03,159437
2018-03-15,5.02,5.04,4.99,5.0,151334
2018-03-16,5.0,5.03,4.99,4.99,165574
2018-03-19,4.99,5.05,4.98,5.04,204393
2018-03-20,5.03,5.04,5.0,5.02,114612
2018-03-21,5.02,5.09,5.01,5.02,318158
2018-03-22,5.01,5.05,4.98,4.99,186766
2018-03-23,4.93,4.98,4.71,4.95,637021
2018-03-26,4.86,4.91,4.82,4.9,173429
2018-03-27,4.93,4.95,4.9,4.93,198284
2018-03-28,4.89,4.92,4.86,4.91,136524
2018-03-29,4.91,5.01,4.88,4.95,280150
2018-03-30,4.95,4.98,4.94,4.97,143486
2018-04-02,4.97,5.05,4.95,4.98,225107
2018-04-03,4.95,4.98,4.92,4.93,159877
2018-04-04,4.95,4.97,4.9,4.9,132281
2018-04-09,4.89,4.91,4.87,4.87,136379
2018-04-10,4.88,4.95,4.87,4.92,175019
2018-04-11,4.94,4.95,4.91,4.92,155480
2018-04-12,4.92,4.94,4.87,4.87,195811
2018-04-13,4.89,4.91,4.85,4.86,121830
2018-04-16,4.85,4.86,4.78,4.79,156639
2018-04-17,4.79,4.85,4.78,4.78,164064
2018-04-18,4.82,4.83,4.77,4.8,160740
2018-04-19,4.8,4.84,4.79,4.8,184892
2018-04-20,4.79,4.79,4.7,4.7,190936
2018-04-23,4.71,4.72,4.64,4.65,195570
2018-04-24,4.65,4.74,4.65,4.73,177153
2018-04-25,4.71,4.72,4.67,4.68,171109
2018-04-26,4.69,4.69,4.61,4.61,175889
2018-04-27,4.62,4.67,4.61,4.64,145704
2018-05-02,4.69,4.79,4.69,4.76,445126
2018-05-03,4.76,4.93,4.75,4.9,565386
2018-05-04,4.89,4.91,4.86,4.9,267435
2018-05-07,4.9,4.99,4.9,4.92,328366
2018-05-08,4.92,4.95,4.89,4.94,181158
2018-05-09,4.95,4.95,4.84,4.88,194331
2018-05-10,4.89,4.94,4.88,4.92,253898
2018-05-11,4.92,4.94,4.89,4.9,165565
2018-05-14,4.91,4.94,4.9,4.92,161098
2018-05-15,4.93,4.93,4.88,4.91,176878
2018-05-16,4.89,4.9,4.84,4.85,160066
2018-05-17,4.85,4.86,4.81,4.81,149645
2018-05-18,4.81,4.85,4.8,4.84,181369
2018-05-21,4.87,4.92,4.86,4.89,214478
2018-05-22,4.89,4.89,4.84,4.87,159680
2018-05-23,4.87,4.88,4.84,4.84,143127
2018-05-24,4.84,4.85,4.76,4.77,168118
2018-05-25,4.77,4.79,4.71,4.72,157699
2018-05-28,4.72,4.75,4.69,4.72,120377
