date,open,high,low,close,volume
2012-05-28,0.951,0.983,0.951,0.983,10791993
2012-05-29,0.98,0.998,0.975,0.994,9190081
2012-05-30,0.992,0.994,0.987,0.99,6609748
2012-05-31,0.986,0.994,0.982,0.988,5799638
2012-06-01,0.989,0.999,0.983,0.99,5337339
2012-06-04,0.978,0.979,0.959,0.961,3961813
2012-06-05,0.962,0.967,0.959,0.962,2088267
2012-06-06,0.963,0.967,0.957,0.96,1800263
2012-06-07,0.968,0.97,0.953,0.955,1412919
2012-06-08,0.961,0.962,0.951,0.952,1807728
2012-06-11,0.955,0.969,0.953,0.965,1676938
2012-06-12,0.96,0.963,0.955,0.957,1290926
2012-06-13,0.96,0.973,0.958,0.972,1739754
2012-06-14,0.97,0.976,0.965,0.967,1037104
2012-06-15,0.969,0.974,0.96,0.97,1197439
2012-06-18,0.973,0.98,0.972,0.975,1052609
2012-06-19,0.974,0.974,0.967,0.968,1023907
2012-06-20,0.97,0.974,0.966,0.967,1212306
2012-06-21,0.965,0.965,0.947,0.954,1953910
2012-06-25,0.951,0.951,0.932,0.934,3617296
2012-06-26,0.93,0.935,0.927,0.933,1848549
2012-06-27,0.932,0.938,0.928,0.93,1187684
2012-06-28,0.931,0.934,0.924,0.924,1249316
2012-06-29,0.922,0.936,0.921,0.935,1754450
2012-07-02,0.94,0.94,0.932,0.935,1515876
2012-07-03,0.936,0.947,0.934,0.937,1036721
2012-07-04,0.938,0.943,0.934,0.938,1255060
2012-07-05,0.934,0.934,0.922,0.926,2357108
2012-07-06,0.928,0.945,0.923,0.941,2291533
2012-07-09,0.937,0.94,0.922,0.923,1253154
2012-07-10,0.922,0.924,0.917,0.919,1591303
2012-07-11,0.917,0.925,0.916,0.924,1528666
2012-07-12,0.922,0.936,0.916,0.929,2382206
2012-07-13,0.93,0.939,0.929,0.933,1938186
2012-07-16,0.935,0.936,0.916,0.918,1412247
2012-07-17,0.917,0.922,0.916,0.921,1450592
2012-07-18,0.92,0.923,0.906,0.919,2629543
2012-07-19,0.918,0.931,0.915,0.924,1600839
2012-07-20,0.921,0.922,0.914,0.915,2015908
2012-07-23,0.91,0.91,0.9,0.902,1646673
2012-07-24,0.9,0.911,0.899,0.905,2002127
2012-07-25,0.903,0.908,0.899,0.9,1300111
2012-07-26,0.901,0.905,0.895,0.897,1564232
2012-07-27,0.9,0.902,0.894,0.897,1752271
2012-07-30,0.898,0.902,0.892,0.894,1281801
2012-07-31,0.894,0.897,0.891,0.893,1849770
2012-08-01,0.894,0.903,0.893,0.898,1453933
2012-08-02,0.897,0.899,0.888,0.891,1797998
2012-08-03,0.893,0.897,0.89,0.897,1172943
2012-08-06,0.896,0.91,0.895,0.908,1749597
2012-08-07,0.909,0.91,0.907,0.908,1566219
2012-08-08,0.91,0.916,0.908,0.909,1666587
2012-08-09,0.909,0.92,0.907,0.919,1766550
2012-08-10,0.919,0.92,0.915,0.916,1019006
2012-08-13,0.914,0.914,0.899,0.9,1785219
2012-08-14,0.9,0.901,0.887,0.9,2235893
2012-08-15,0.897,0.897,0.889,0.891,1580662
2012-08-16,0.89,0.892,0.886,0.887,2089183
2012-08-17,0.888,0.888,0.877,0.883,2935066
2012-08-20,0.877,0.881,0.86,0.877,2064836
2012-08-21,0.876,0.89,0.876,0.882,1676466
2012-08-22,0.883,0.883,0.873,0.875,1176882
2012-08-23,0.876,0.883,0.873,0.879,1370635
2012-08-24,0.877,0.877,0.869,0.87,1166691
2012-08-27,0.867,0.867,0.852,0.852,2139904
2012-08-28,0.85,0.858,0.848,0.853,1662090
2012-08-29,0.849,0.854,0.844,0.846,1896206
2012-08-30,0.844,0.847,0.836,0.841,2540197
2012-08-31,0.84,0.845,0.84,0.842,1613108
2012-09-03,0.839,0.851,0.837,0.849,2288365
2012-09-04,0.85,0.851,0.839,0.841,1236977
2012-09-05,0.839,0.842,0.836,0.839,1036934
2012-09-06,0.84,0.847,0.839,0.846,1430701
2012-09-07,0.851,0.898,0.851,0.887,6769212
2012-09-10,0.888,0.891,0.883,0.888,2054509
2012-09-11,0.885,0.885,0.875,0.883,2635306
2012-09-12,0.888,0.894,0.877,0.885,1931670
2012-09-13,0.883,0.888,0.878,0.878,1543587
2012-09-14,0.886,0.89,0.876,0.885,2356879
2012-09-17,0.881,0.882,0.863,0.863,1327216
2012-09-18,0.858,0.86,0.85,0.853,1555761
2012-09-19,0.854,0.858,0.851,0.856,1889451
2012-09-20,0.854,0.854,0.836,0.838,1807821
2012-09-21,0.836,0.845,0.834,0.839,2069627
2012-09-24,0.833,0.85,0.828,0.844,2049038
2012-09-25,0.843,0.849,0.84,0.842,1119120
2012-09-26,0.842,0.846,0.833,0.835,1394030
2012-09-27,0.835,0.876,0.835,0.86,3924707
2012-09-28,0.855,0.881,0.854,0.88,11372832
2012-10-08,0.88,0.88,0.862,0.868,1338980
2012-10-09,0.871,0.892,0.87,0.887,2962703
2012-10-10,0.884,0.888,0.88,0.887,1268356
2012-10-11,0.885,0.886,0.878,0.879,1386771
2012-10-12,0.882,0.891,0.872,0.881,2102504
